================================================================================
ANÁLISIS LÉXICO - LENGUAJE GO
================================================================================
Archivo analizado: algoritmo3.go
Fecha y hora: 12/11/2025 21:22:16
Usuario: SKEIILAT
================================================================================

TOKENS RECONOCIDOS (428)
--------------------------------------------------------------------------------
Token: LPAREN               | Valor: (                              | Línea:    7 | Columna:    8
Token: DOT                  | Valor: .                              | Línea:   87 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   87 | Columna:   20
Token: COLON                | Valor: :                              | Línea:   87 | Columna:   37
Token: COMMA                | Valor: ,                              | Línea:   87 | Columna:   39
Token: RPAREN               | Valor: )                              | Línea:   87 | Columna:   45
Token: RBRACE               | Valor: }                              | Línea:   88 | Columna:    5
Token: COMMA                | Valor: ,                              | Línea:   91 | Columna:    6
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   91 | Columna:   10
Token: LPAREN               | Valor: (                              | Línea:   91 | Columna:   32
Token: COMMA                | Valor: ,                              | Línea:   91 | Columna:   34
Token: RPAREN               | Valor: )                              | Línea:   91 | Columna:   37
Token: DOT                  | Valor: .                              | Línea:   92 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   92 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   92 | Columna:   22
Token: COMMA                | Valor: ,                              | Línea:   92 | Columna:   24
Token: COMMA                | Valor: ,                              | Línea:   92 | Columna:   27
Token: COLON                | Valor: :                              | Línea:   92 | Columna:   38
Token: COMMA                | Valor: ,                              | Línea:   92 | Columna:   40
Token: RPAREN               | Valor: )                              | Línea:   92 | Columna:   43
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   95 | Columna:   11
Token: LPAREN               | Valor: (                              | Línea:   95 | Columna:   24
Token: COMMA                | Valor: ,                              | Línea:   95 | Columna:   26
Token: COMMA                | Valor: ,                              | Línea:   95 | Columna:   29
Token: COMMA                | Valor: ,                              | Línea:   95 | Columna:   32
Token: COMMA                | Valor: ,                              | Línea:   95 | Columna:   35
Token: COMMA                | Valor: ,                              | Línea:   95 | Columna:   38
Token: COMMA                | Valor: ,                              | Línea:   95 | Columna:   41
Token: COMMA                | Valor: ,                              | Línea:   95 | Columna:   44
Token: COMMA                | Valor: ,                              | Línea:   95 | Columna:   47
Token: COMMA                | Valor: ,                              | Línea:   95 | Columna:   50
Token: RPAREN               | Valor: )                              | Línea:   95 | Columna:   54
Token: DOT                  | Valor: .                              | Línea:   96 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   96 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   96 | Columna:   34
Token: COMMA                | Valor: ,                              | Línea:   96 | Columna:   36
Token: RPAREN               | Valor: )                              | Línea:   96 | Columna:   43
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   98 | Columna:   19
Token: LPAREN               | Valor: (                              | Línea:   98 | Columna:   31
Token: DOT                  | Valor: .                              | Línea:   98 | Columna:   34
Token: COMMA                | Valor: ,                              | Línea:   98 | Columna:   36
Token: DOT                  | Valor: .                              | Línea:   98 | Columna:   40
Token: COMMA                | Valor: ,                              | Línea:   98 | Columna:   42
Token: DOT                  | Valor: .                              | Línea:   98 | Columna:   46
Token: COMMA                | Valor: ,                              | Línea:   98 | Columna:   48
Token: DOT                  | Valor: .                              | Línea:   98 | Columna:   52
Token: RPAREN               | Valor: )                              | Línea:   98 | Columna:   54
Token: DOT                  | Valor: .                              | Línea:   99 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   99 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   99 | Columna:   35
Token: COMMA                | Valor: ,                              | Línea:   99 | Columna:   37
Token: RPAREN               | Valor: )                              | Línea:   99 | Columna:   52
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:  102 | Columna:   11
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:  103 | Columna:   13
Token: BITAND               | Valor: &                              | Línea:  103 | Columna:   16
Token: DOT                  | Valor: .                              | Línea:  104 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:  104 | Columna:   16
Token: COLON                | Valor: :                              | Línea:  104 | Columna:   23
Token: COMMA                | Valor: ,                              | Línea:  104 | Columna:   25
Token: RPAREN               | Valor: )                              | Línea:  104 | Columna:   32
Token: DOT                  | Valor: .                              | Línea:  105 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:  105 | Columna:   16
Token: COLON                | Valor: :                              | Línea:  105 | Columna:   38
Token: COMMA                | Valor: ,                              | Línea:  105 | Columna:   40
Token: RPAREN               | Valor: )                              | Línea:  105 | Columna:   49
Token: DOT                  | Valor: .                              | Línea:  106 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:  106 | Columna:   16
Token: COLON                | Valor: :                              | Línea:  106 | Columna:   44
Token: COMMA                | Valor: ,                              | Línea:  106 | Columna:   46
Token: TIMES                | Valor: *                              | Línea:  106 | Columna:   48
Token: RPAREN               | Valor: )                              | Línea:  106 | Columna:   56
Token: TIMES                | Valor: *                              | Línea:  109 | Columna:    5
Token: ASSIGN               | Valor: =                              | Línea:  109 | Columna:   14
Token: DOT                  | Valor: .                              | Línea:  110 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:  110 | Columna:   16
Token: COLON                | Valor: :                              | Línea:  110 | Columna:   29
Token: COMMA                | Valor: ,                              | Línea:  110 | Columna:   31
Token: RPAREN               | Valor: )                              | Línea:  110 | Columna:   38
Token: LPAREN               | Valor: (                              | Línea:  113 | Columna:   16
Token: BITAND               | Valor: &                              | Línea:  113 | Columna:   17
Token: RPAREN               | Valor: )                              | Línea:  113 | Columna:   23
Token: DOT                  | Valor: .                              | Línea:  114 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:  114 | Columna:   16
Token: COLON                | Valor: :                              | Línea:  114 | Columna:   46
Token: COMMA                | Valor: ,                              | Línea:  114 | Columna:   48
Token: RPAREN               | Valor: )                              | Línea:  114 | Columna:   55
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:  117 | Columna:    7
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:  118 | Columna:    7
Token: DOT                  | Valor: .                              | Línea:  120 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:  120 | Columna:   16
Token: COLON                | Valor: :                              | Línea:  120 | Columna:   31
Token: COMMA                | Valor: ,                              | Línea:  120 | Columna:   33
Token: BITAND               | Valor: &                              | Línea:  120 | Columna:   37
Token: RPAREN               | Valor: )                              | Línea:  120 | Columna:   40
Token: DOT                  | Valor: .                              | Línea:  121 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:  121 | Columna:   16
Token: COLON                | Valor: :                              | Línea:  121 | Columna:   30
Token: COMMA                | Valor: ,                              | Línea:  121 | Columna:   32
Token: BITOR                | Valor: |                              | Línea:  121 | Columna:   36
Token: RPAREN               | Valor: )                              | Línea:  121 | Columna:   39
Token: DOT                  | Valor: .                              | Línea:  122 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:  122 | Columna:   16
Token: COLON                | Valor: :                              | Línea:  122 | Columna:   31
Token: COMMA                | Valor: ,                              | Línea:  122 | Columna:   33
Token: BITXOR               | Valor: ^                              | Línea:  122 | Columna:   37
Token: RPAREN               | Valor: )                              | Línea:  122 | Columna:   40
Token: DOT                  | Valor: .                              | Línea:  123 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:  123 | Columna:   16
Token: COLON                | Valor: :                              | Línea:  123 | Columna:   36
Token: COMMA                | Valor: ,                              | Línea:  123 | Columna:   38
Token: LSHIFT               | Valor: <<                             | Línea:  123 | Columna:   42
Token: RPAREN               | Valor: )                              | Línea:  123 | Columna:   46
Token: DOT                  | Valor: .                              | Línea:  124 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:  124 | Columna:   16
Token: COLON                | Valor: :                              | Línea:  124 | Columna:   36
Token: COMMA                | Valor: ,                              | Línea:  124 | Columna:   38
Token: RSHIFT               | Valor: >>                             | Línea:  124 | Columna:   42
Token: RPAREN               | Valor: )                              | Línea:  124 | Columna:   46
Token: RBRACE               | Valor: }                              | Línea:  125 | Columna:    1
Token: LPAREN               | Valor: (                              | Línea:  128 | Columna:   11
Token: COMMA                | Valor: ,                              | Línea:  128 | Columna:   17
Token: RPAREN               | Valor: )                              | Línea:  128 | Columna:   24
Token: LBRACE               | Valor: {                              | Línea:  128 | Columna:   30
Token: PLUS                 | Valor: +                              | Línea:  129 | Columna:   14
Token: RBRACE               | Valor: }                              | Línea:  130 | Columna:    1
Token: LPAREN               | Valor: (                              | Línea:  133 | Columna:   13
Token: COMMA                | Valor: ,                              | Línea:  133 | Columna:   23
Token: RPAREN               | Valor: )                              | Línea:  133 | Columna:   34
Token: LPAREN               | Valor: (                              | Línea:  133 | Columna:   36
Token: COMMA                | Valor: ,                              | Línea:  133 | Columna:   44
Token: RPAREN               | Valor: )                              | Línea:  133 | Columna:   51
Token: LBRACE               | Valor: {                              | Línea:  133 | Columna:   53
Token: EQ                   | Valor: ==                             | Línea:  134 | Columna:   10
Token: DOT                  | Valor: .                              | Línea:  134 | Columna:   14
Token: LBRACE               | Valor: {                              | Línea:  134 | Columna:   17
Token: DOT                  | Valor: .                              | Línea:  135 | Columna:   17
Token: COMMA                | Valor: ,                              | Línea:  135 | Columna:   19
Token: DOT                  | Valor: .                              | Línea:  135 | Columna:   27
Token: LPAREN               | Valor: (                              | Línea:  135 | Columna:   31
Token: RPAREN               | Valor: )                              | Línea:  135 | Columna:   64
Token: RBRACE               | Valor: }                              | Línea:  136 | Columna:    5
Token: DIVIDE               | Valor: /                              | Línea:  137 | Columna:   14
Token: COMMA                | Valor: ,                              | Línea:  137 | Columna:   17
Token: RBRACE               | Valor: }                              | Línea:  138 | Columna:    1
Token: LPAREN               | Valor: (                              | Línea:  141 | Columna:   25
Token: COMMA                | Valor: ,                              | Línea:  141 | Columna:   31
Token: RPAREN               | Valor: )                              | Línea:  141 | Columna:   38
Token: LPAREN               | Valor: (                              | Línea:  141 | Columna:   40
Token: COMMA                | Valor: ,                              | Línea:  141 | Columna:   49
Token: RPAREN               | Valor: )                              | Línea:  141 | Columna:   63
Token: LBRACE               | Valor: {                              | Línea:  141 | Columna:   65
Token: ASSIGN               | Valor: =                              | Línea:  142 | Columna:   10
Token: PLUS                 | Valor: +                              | Línea:  142 | Columna:   14
Token: ASSIGN               | Valor: =                              | Línea:  143 | Columna:   14
Token: TIMES                | Valor: *                              | Línea:  143 | Columna:   18
Token: RBRACE               | Valor: }                              | Línea:  145 | Columna:    1
Token: LPAREN               | Valor: (                              | Línea:  148 | Columna:   16
Token: ELLIPSIS             | Valor: ...                            | Línea:  148 | Columna:   25
Token: RPAREN               | Valor: )                              | Línea:  148 | Columna:   31
Token: LBRACE               | Valor: {                              | Línea:  148 | Columna:   37
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:  149 | Columna:   11
Token: COMMA                | Valor: ,                              | Línea:  150 | Columna:   10
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:  150 | Columna:   16
Token: LBRACE               | Valor: {                              | Línea:  150 | Columna:   33
Token: PLUS_ASSIGN          | Valor: +=                             | Línea:  151 | Columna:   15
Token: RBRACE               | Valor: }                              | Línea:  152 | Columna:    5
Token: RBRACE               | Valor: }                              | Línea:  154 | Columna:    1
Token: LPAREN               | Valor: (                              | Línea:  156 | Columna:   15
Token: ELLIPSIS             | Valor: ...                            | Línea:  156 | Columna:   24
Token: RPAREN               | Valor: )                              | Línea:  156 | Columna:   34
Token: LBRACE               | Valor: {                              | Línea:  156 | Columna:   44
Token: LPAREN               | Valor: (                              | Línea:  157 | Columna:   11
Token: RPAREN               | Valor: )                              | Línea:  157 | Columna:   19
Token: EQ                   | Valor: ==                             | Línea:  157 | Columna:   21
Token: LBRACE               | Valor: {                              | Línea:  157 | Columna:   26
Token: DOT                  | Valor: .                              | Línea:  158 | Columna:   17
Token: RBRACE               | Valor: }                              | Línea:  159 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:  160 | Columna:   10
Token: DOT                  | Valor: .                              | Línea:  160 | Columna:   14
Token: COMMA                | Valor: ,                              | Línea:  161 | Columna:   10
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:  161 | Columna:   14
Token: LBRACE               | Valor: {                              | Línea:  161 | Columna:   31
