================================================================================
ANÁLISIS LÉXICO - LENGUAJE GO
================================================================================
Archivo analizado: algoritmo1.go
Fecha y hora: 12/11/2025 21:22:07
Usuario: SKEIILAT
================================================================================

TOKENS RECONOCIDOS (143)
--------------------------------------------------------------------------------
Token: LPAREN               | Valor: (                              | Línea:    9 | Columna:   10
Token: COLON                | Valor: :                              | Línea:   67 | Columna:   30
Token: COMMA                | Valor: ,                              | Línea:   67 | Columna:   32
Token: RPAREN               | Valor: )                              | Línea:   67 | Columna:   46
Token: DOT                  | Valor: .                              | Línea:   68 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   68 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   68 | Columna:   29
Token: COMMA                | Valor: ,                              | Línea:   68 | Columna:   31
Token: COMMA                | Valor: ,                              | Línea:   68 | Columna:   37
Token: COMMA                | Valor: ,                              | Línea:   68 | Columna:   44
Token: COMMA                | Valor: ,                              | Línea:   68 | Columna:   60
Token: COMMA                | Valor: ,                              | Línea:   68 | Columna:   70
Token: RPAREN               | Valor: )                              | Línea:   68 | Columna:   78
Token: RBRACE               | Valor: }                              | Línea:   69 | Columna:    1
Token: LPAREN               | Valor: (                              | Línea:   71 | Columna:   14
Token: COMMA                | Valor: ,                              | Línea:   71 | Columna:   20
Token: RPAREN               | Valor: )                              | Línea:   71 | Columna:   27
Token: LBRACE               | Valor: {                              | Línea:   71 | Columna:   33
Token: PLUS                 | Valor: +                              | Línea:   72 | Columna:   14
Token: RBRACE               | Valor: }                              | Línea:   73 | Columna:    1

================================================================================
ERRORES LÉXICOS (893)
--------------------------------------------------------------------------------
Carácter ilegal 'p' en línea 5, columna 1
Carácter ilegal 'a' en línea 5, columna 2
Carácter ilegal 'c' en línea 5, columna 3
Carácter ilegal 'k' en línea 5, columna 4
Carácter ilegal 'a' en línea 5, columna 5
Carácter ilegal 'g' en línea 5, columna 6
Carácter ilegal 'e' en línea 5, columna 7
Carácter ilegal 'm' en línea 5, columna 9
Carácter ilegal 'a' en línea 5, columna 10
Carácter ilegal 'i' en línea 5, columna 11
Carácter ilegal 'n' en línea 5, columna 12
Carácter ilegal 'i' en línea 7, columna 1
Carácter ilegal 'm' en línea 7, columna 2
Carácter ilegal 'p' en línea 7, columna 3
Carácter ilegal 'o' en línea 7, columna 4
Carácter ilegal 'r' en línea 7, columna 5
Carácter ilegal 't' en línea 7, columna 6
Carácter ilegal '"' en línea 7, columna 8
Carácter ilegal 'f' en línea 7, columna 9
Carácter ilegal 'm' en línea 7, columna 10
Carácter ilegal 't' en línea 7, columna 11
Carácter ilegal '"' en línea 7, columna 12
Carácter ilegal 'f' en línea 9, columna 1
Carácter ilegal 'u' en línea 9, columna 2
Carácter ilegal 'n' en línea 9, columna 3
Carácter ilegal 'c' en línea 9, columna 4
Carácter ilegal 'm' en línea 9, columna 6
Carácter ilegal 'a' en línea 9, columna 7
Carácter ilegal 'i' en línea 9, columna 8
Carácter ilegal 'n' en línea 9, columna 9
Carácter ilegal 'v' en línea 11, columna 5
Carácter ilegal 'a' en línea 11, columna 6
Carácter ilegal 'r' en línea 11, columna 7
Carácter ilegal 'n' en línea 11, columna 9
Carácter ilegal 'o' en línea 11, columna 10
Carácter ilegal 'm' en línea 11, columna 11
Carácter ilegal 'b' en línea 11, columna 12
Carácter ilegal 'r' en línea 11, columna 13
Carácter ilegal 'e' en línea 11, columna 14
Carácter ilegal 's' en línea 11, columna 16
Carácter ilegal 't' en línea 11, columna 17
Carácter ilegal 'r' en línea 11, columna 18
Carácter ilegal 'i' en línea 11, columna 19
Carácter ilegal 'n' en línea 11, columna 20
Carácter ilegal 'g' en línea 11, columna 21
Carácter ilegal 'v' en línea 12, columna 5
Carácter ilegal 'a' en línea 12, columna 6
Carácter ilegal 'r' en línea 12, columna 7
Carácter ilegal 'e' en línea 12, columna 9
Carácter ilegal 'd' en línea 12, columna 10
Carácter ilegal 'a' en línea 12, columna 11
Carácter ilegal 'd' en línea 12, columna 12
Carácter ilegal 'i' en línea 12, columna 14
Carácter ilegal 'n' en línea 12, columna 15
Carácter ilegal 't' en línea 12, columna 16
Carácter ilegal '2' en línea 12, columna 20
Carácter ilegal '5' en línea 12, columna 21
Carácter ilegal 'v' en línea 13, columna 5
Carácter ilegal 'a' en línea 13, columna 6
Carácter ilegal 'r' en línea 13, columna 7
Carácter ilegal 'p' en línea 13, columna 9
Carácter ilegal 'r' en línea 13, columna 10
Carácter ilegal 'e' en línea 13, columna 11
Carácter ilegal 'c' en línea 13, columna 12
Carácter ilegal 'i' en línea 13, columna 13
Carácter ilegal 'o' en línea 13, columna 14
Carácter ilegal 'f' en línea 13, columna 16
Carácter ilegal 'l' en línea 13, columna 17
Carácter ilegal 'o' en línea 13, columna 18
Carácter ilegal 'a' en línea 13, columna 19
Carácter ilegal 't' en línea 13, columna 20
Carácter ilegal '6' en línea 13, columna 21
Carácter ilegal '4' en línea 13, columna 22
Carácter ilegal '1' en línea 13, columna 26
Carácter ilegal '9' en línea 13, columna 27
Carácter ilegal '9' en línea 13, columna 29
Carácter ilegal '9' en línea 13, columna 30
Carácter ilegal 'v' en línea 14, columna 5
Carácter ilegal 'a' en línea 14, columna 6
Carácter ilegal 'r' en línea 14, columna 7
Carácter ilegal 'a' en línea 14, columna 9
Carácter ilegal 'c' en línea 14, columna 10
Carácter ilegal 't' en línea 14, columna 11
Carácter ilegal 'i' en línea 14, columna 12
Carácter ilegal 'v' en línea 14, columna 13
Carácter ilegal 'o' en línea 14, columna 14
Carácter ilegal 'b' en línea 14, columna 16
Carácter ilegal 'o' en línea 14, columna 17
Carácter ilegal 'o' en línea 14, columna 18
Carácter ilegal 'l' en línea 14, columna 19
Carácter ilegal 't' en línea 14, columna 23
Carácter ilegal 'r' en línea 14, columna 24
Carácter ilegal 'u' en línea 14, columna 25
Carácter ilegal 'e' en línea 14, columna 26
Carácter ilegal 'v' en línea 17, columna 5
Carácter ilegal 'a' en línea 17, columna 6
Carácter ilegal 'r' en línea 17, columna 7
Carácter ilegal 'c' en línea 17, columna 9
Carácter ilegal 'i' en línea 17, columna 10
Carácter ilegal 'u' en línea 17, columna 11
Carácter ilegal 'd' en línea 17, columna 12
Carácter ilegal 'a' en línea 17, columna 13
Carácter ilegal 'd' en línea 17, columna 14
Carácter ilegal '"' en línea 17, columna 18
Carácter ilegal 'Q' en línea 17, columna 19
Carácter ilegal 'u' en línea 17, columna 20
Carácter ilegal 'i' en línea 17, columna 21
Carácter ilegal 't' en línea 17, columna 22
Carácter ilegal 'o' en línea 17, columna 23
Carácter ilegal '"' en línea 17, columna 24
Carácter ilegal 'v' en línea 18, columna 5
Carácter ilegal 'a' en línea 18, columna 6
Carácter ilegal 'r' en línea 18, columna 7
Carácter ilegal 't' en línea 18, columna 9
Carácter ilegal 'e' en línea 18, columna 10
Carácter ilegal 'm' en línea 18, columna 11
Carácter ilegal 'p' en línea 18, columna 12
Carácter ilegal 'e' en línea 18, columna 13
Carácter ilegal 'r' en línea 18, columna 14
Carácter ilegal 'a' en línea 18, columna 15
Carácter ilegal 't' en línea 18, columna 16
Carácter ilegal 'u' en línea 18, columna 17
Carácter ilegal 'r' en línea 18, columna 18
Carácter ilegal 'a' en línea 18, columna 19
Carácter ilegal '1' en línea 18, columna 23
Carácter ilegal '8' en línea 18, columna 24
Carácter ilegal '5' en línea 18, columna 26
Carácter ilegal 'c' en línea 21, columna 5
Carácter ilegal 'o' en línea 21, columna 6
Carácter ilegal 'n' en línea 21, columna 7
Carácter ilegal 't' en línea 21, columna 8
Carácter ilegal 'a' en línea 21, columna 9
Carácter ilegal 'd' en línea 21, columna 10
Carácter ilegal 'o' en línea 21, columna 11
Carácter ilegal 'r' en línea 21, columna 12
Carácter ilegal '0' en línea 21, columna 17
Carácter ilegal 'm' en línea 22, columna 5
Carácter ilegal 'e' en línea 22, columna 6
Carácter ilegal 'n' en línea 22, columna 7
Carácter ilegal 's' en línea 22, columna 8
Carácter ilegal 'a' en línea 22, columna 9
Carácter ilegal 'j' en línea 22, columna 10
Carácter ilegal 'e' en línea 22, columna 11
Carácter ilegal '"' en línea 22, columna 16
Carácter ilegal 'H' en línea 22, columna 17
Carácter ilegal 'o' en línea 22, columna 18
Carácter ilegal 'l' en línea 22, columna 19
Carácter ilegal 'a' en línea 22, columna 20
Carácter ilegal 'M' en línea 22, columna 22
Carácter ilegal 'u' en línea 22, columna 23
Carácter ilegal 'n' en línea 22, columna 24
Carácter ilegal 'd' en línea 22, columna 25
Carácter ilegal 'o' en línea 22, columna 26
Carácter ilegal '"' en línea 22, columna 27
Carácter ilegal 'r' en línea 23, columna 5
Carácter ilegal 'e' en línea 23, columna 6
Carácter ilegal 's' en línea 23, columna 7
Carácter ilegal 'u' en línea 23, columna 8
Carácter ilegal 'l' en línea 23, columna 9
Carácter ilegal 't' en línea 23, columna 10
Carácter ilegal 'a' en línea 23, columna 11
Carácter ilegal 'd' en línea 23, columna 12
Carácter ilegal 'o' en línea 23, columna 13
Carácter ilegal 'c' en línea 23, columna 18
Carácter ilegal 'a' en línea 23, columna 19
Carácter ilegal 'l' en línea 23, columna 20
Carácter ilegal 'c' en línea 23, columna 21
Carácter ilegal 'u' en línea 23, columna 22
Carácter ilegal 'l' en línea 23, columna 23
Carácter ilegal 'a' en línea 23, columna 24
Carácter ilegal 'r' en línea 23, columna 25
Carácter ilegal '1' en línea 23, columna 27
Carácter ilegal '0' en línea 23, columna 28
Carácter ilegal '2' en línea 23, columna 31
Carácter ilegal '0' en línea 23, columna 32
Carácter ilegal 'v' en línea 26, columna 5
Carácter ilegal 'a' en línea 26, columna 6
Carácter ilegal 'r' en línea 26, columna 7
Carácter ilegal 'x' en línea 26, columna 9
Carácter ilegal 'y' en línea 26, columna 12
Carácter ilegal 'z' en línea 26, columna 15
Carácter ilegal 'i' en línea 26, columna 17
Carácter ilegal 'n' en línea 26, columna 18
Carácter ilegal 't' en línea 26, columna 19
Carácter ilegal 'a' en línea 27, columna 5
Carácter ilegal 'b' en línea 27, columna 8
Carácter ilegal 'c' en línea 27, columna 11
Carácter ilegal '1' en línea 27, columna 16
Carácter ilegal '2' en línea 27, columna 19
Carácter ilegal '3' en línea 27, columna 22
Carácter ilegal 'v' en línea 30, columna 5
Carácter ilegal 'a' en línea 30, columna 6
Carácter ilegal 'r' en línea 30, columna 7
Carácter ilegal 'n' en línea 31, columna 9
Carácter ilegal 'o' en línea 31, columna 10
Carácter ilegal 'm' en línea 31, columna 11
Carácter ilegal 'b' en línea 31, columna 12
Carácter ilegal 'r' en línea 31, columna 13
Carácter ilegal 'e' en línea 31, columna 14
Carácter ilegal '_' en línea 31, columna 15
Carácter ilegal 'c' en línea 31, columna 16
Carácter ilegal 'o' en línea 31, columna 17
Carácter ilegal 'm' en línea 31, columna 18
Carácter ilegal 'p' en línea 31, columna 19
Carácter ilegal 'l' en línea 31, columna 20
Carácter ilegal 'e' en línea 31, columna 21
Carácter ilegal 't' en línea 31, columna 22
Carácter ilegal 'o' en línea 31, columna 23
Carácter ilegal 's' en línea 31, columna 25
Carácter ilegal 't' en línea 31, columna 26
Carácter ilegal 'r' en línea 31, columna 27
Carácter ilegal 'i' en línea 31, columna 28
Carácter ilegal 'n' en línea 31, columna 29
Carácter ilegal 'g' en línea 31, columna 30
Carácter ilegal '"' en línea 31, columna 34
Carácter ilegal 'J' en línea 31, columna 35
Carácter ilegal 'u' en línea 31, columna 36
Carácter ilegal 'a' en línea 31, columna 37
Carácter ilegal 'n' en línea 31, columna 38
Carácter ilegal 'P' en línea 31, columna 40
Carácter ilegal 'é' en línea 31, columna 41
Carácter ilegal 'r' en línea 31, columna 42
Carácter ilegal 'e' en línea 31, columna 43
Carácter ilegal 'z' en línea 31, columna 44
Carácter ilegal '"' en línea 31, columna 45
Carácter ilegal 'c' en línea 32, columna 9
Carácter ilegal 'o' en línea 32, columna 10
Carácter ilegal 'd' en línea 32, columna 11
Carácter ilegal 'i' en línea 32, columna 12
Carácter ilegal 'g' en línea 32, columna 13
Carácter ilegal 'o' en línea 32, columna 14
Carácter ilegal 'i' en línea 32, columna 16
Carácter ilegal 'n' en línea 32, columna 17
Carácter ilegal 't' en línea 32, columna 18
Carácter ilegal '1' en línea 32, columna 22
Carácter ilegal '2' en línea 32, columna 23
Carácter ilegal '3' en línea 32, columna 24
Carácter ilegal '4' en línea 32, columna 25
Carácter ilegal '5' en línea 32, columna 26
Carácter ilegal 'h' en línea 33, columna 9
Carácter ilegal 'a' en línea 33, columna 10
Carácter ilegal 'b' en línea 33, columna 11
Carácter ilegal 'i' en línea 33, columna 12
Carácter ilegal 'l' en línea 33, columna 13
Carácter ilegal 'i' en línea 33, columna 14
Carácter ilegal 't' en línea 33, columna 15
Carácter ilegal 'a' en línea 33, columna 16
Carácter ilegal 'd' en línea 33, columna 17
Carácter ilegal 'o' en línea 33, columna 18
Carácter ilegal 'b' en línea 33, columna 20
Carácter ilegal 'o' en línea 33, columna 21
Carácter ilegal 'o' en línea 33, columna 22
Carácter ilegal 'l' en línea 33, columna 23
Carácter ilegal 't' en línea 33, columna 27
Carácter ilegal 'r' en línea 33, columna 28
Carácter ilegal 'u' en línea 33, columna 29
Carácter ilegal 'e' en línea 33, columna 30
Carácter ilegal 'c' en línea 37, columna 5
Carácter ilegal 'o' en línea 37, columna 6
Carácter ilegal 'n' en línea 37, columna 7
Carácter ilegal 's' en línea 37, columna 8
Carácter ilegal 't' en línea 37, columna 9
Carácter ilegal 'P' en línea 37, columna 11
Carácter ilegal 'I' en línea 37, columna 12
Carácter ilegal '3' en línea 37, columna 16
Carácter ilegal '1' en línea 37, columna 18
Carácter ilegal '4' en línea 37, columna 19
Carácter ilegal '1' en línea 37, columna 20
Carácter ilegal '5' en línea 37, columna 21
Carácter ilegal '9' en línea 37, columna 22
Carácter ilegal 'c' en línea 38, columna 5
Carácter ilegal 'o' en línea 38, columna 6
Carácter ilegal 'n' en línea 38, columna 7
Carácter ilegal 's' en línea 38, columna 8
Carácter ilegal 't' en línea 38, columna 9
Carácter ilegal 'M' en línea 38, columna 11
Carácter ilegal 'A' en línea 38, columna 12
Carácter ilegal 'X' en línea 38, columna 13
Carácter ilegal '_' en línea 38, columna 14
Carácter ilegal 'U' en línea 38, columna 15
Carácter ilegal 'S' en línea 38, columna 16
Carácter ilegal 'U' en línea 38, columna 17
Carácter ilegal 'A' en línea 38, columna 18
Carácter ilegal 'R' en línea 38, columna 19
Carácter ilegal 'I' en línea 38, columna 20
Carácter ilegal 'O' en línea 38, columna 21
Carácter ilegal 'S' en línea 38, columna 22
Carácter ilegal '1' en línea 38, columna 26
Carácter ilegal '0' en línea 38, columna 27
Carácter ilegal '0' en línea 38, columna 28
Carácter ilegal 's' en línea 41, columna 5
Carácter ilegal 'u' en línea 41, columna 6
Carácter ilegal 'm' en línea 41, columna 7
Carácter ilegal 'a' en línea 41, columna 8
Carácter ilegal 'a' en línea 41, columna 13
Carácter ilegal 'b' en línea 41, columna 17
Carácter ilegal 'r' en línea 42, columna 5
Carácter ilegal 'e' en línea 42, columna 6
Carácter ilegal 's' en línea 42, columna 7
Carácter ilegal 't' en línea 42, columna 8
Carácter ilegal 'a' en línea 42, columna 9
Carácter ilegal 'c' en línea 42, columna 14
Carácter ilegal 'a' en línea 42, columna 18
Carácter ilegal 'm' en línea 43, columna 5
Carácter ilegal 'u' en línea 43, columna 6
Carácter ilegal 'l' en línea 43, columna 7
Carácter ilegal 't' en línea 43, columna 8
Carácter ilegal 'i' en línea 43, columna 9
Carácter ilegal 'p' en línea 43, columna 10
Carácter ilegal 'l' en línea 43, columna 11
Carácter ilegal 'i' en línea 43, columna 12
Carácter ilegal 'c' en línea 43, columna 13
Carácter ilegal 'a' en línea 43, columna 14
Carácter ilegal 'c' en línea 43, columna 15
Carácter ilegal 'i' en línea 43, columna 16
Carácter ilegal 'o' en línea 43, columna 17
Carácter ilegal 'n' en línea 43, columna 18
Carácter ilegal 'b' en línea 43, columna 23
Carácter ilegal 'c' en línea 43, columna 27
Carácter ilegal 'd' en línea 44, columna 5
Carácter ilegal 'i' en línea 44, columna 6
Carácter ilegal 'v' en línea 44, columna 7
Carácter ilegal 'i' en línea 44, columna 8
Carácter ilegal 's' en línea 44, columna 9
Carácter ilegal 'i' en línea 44, columna 10
Carácter ilegal 'o' en línea 44, columna 11
Carácter ilegal 'n' en línea 44, columna 12
Carácter ilegal 'e' en línea 44, columna 17
Carácter ilegal 'd' en línea 44, columna 18
Carácter ilegal 'a' en línea 44, columna 19
Carácter ilegal 'd' en línea 44, columna 20
Carácter ilegal '5' en línea 44, columna 24
Carácter ilegal 'm' en línea 45, columna 5
Carácter ilegal 'o' en línea 45, columna 6
Carácter ilegal 'd' en línea 45, columna 7
Carácter ilegal 'u' en línea 45, columna 8
Carácter ilegal 'l' en línea 45, columna 9
Carácter ilegal 'o' en línea 45, columna 10
Carácter ilegal 'e' en línea 45, columna 15
Carácter ilegal 'd' en línea 45, columna 16
Carácter ilegal 'a' en línea 45, columna 17
Carácter ilegal 'd' en línea 45, columna 18
Carácter ilegal '7' en línea 45, columna 22
Carácter ilegal 'c' en línea 48, columna 5
Carácter ilegal 'o' en línea 48, columna 6
Carácter ilegal 'n' en línea 48, columna 7
Carácter ilegal 't' en línea 48, columna 8
Carácter ilegal 'a' en línea 48, columna 9
Carácter ilegal 'd' en línea 48, columna 10
Carácter ilegal 'o' en línea 48, columna 11
Carácter ilegal 'r' en línea 48, columna 12
Carácter ilegal 'e' en línea 49, columna 5
Carácter ilegal 'd' en línea 49, columna 6
Carácter ilegal 'a' en línea 49, columna 7
Carácter ilegal 'd' en línea 49, columna 8
Carácter ilegal 'f' en línea 52, columna 5
Carácter ilegal 'm' en línea 52, columna 6
Carácter ilegal 't' en línea 52, columna 7
Carácter ilegal 'P' en línea 52, columna 9
Carácter ilegal 'r' en línea 52, columna 10
Carácter ilegal 'i' en línea 52, columna 11
Carácter ilegal 'n' en línea 52, columna 12
Carácter ilegal 't' en línea 52, columna 13
Carácter ilegal 'l' en línea 52, columna 14
Carácter ilegal 'n' en línea 52, columna 15
Carácter ilegal '"' en línea 52, columna 17
Carácter ilegal 'N' en línea 52, columna 18
Carácter ilegal 'o' en línea 52, columna 19
Carácter ilegal 'm' en línea 52, columna 20
Carácter ilegal 'b' en línea 52, columna 21
Carácter ilegal 'r' en línea 52, columna 22
Carácter ilegal 'e' en línea 52, columna 23
Carácter ilegal '"' en línea 52, columna 25
Carácter ilegal 'n' en línea 52, columna 28
Carácter ilegal 'o' en línea 52, columna 29
Carácter ilegal 'm' en línea 52, columna 30
Carácter ilegal 'b' en línea 52, columna 31
Carácter ilegal 'r' en línea 52, columna 32
Carácter ilegal 'e' en línea 52, columna 33
Carácter ilegal 'f' en línea 53, columna 5
Carácter ilegal 'm' en línea 53, columna 6
Carácter ilegal 't' en línea 53, columna 7
Carácter ilegal 'P' en línea 53, columna 9
Carácter ilegal 'r' en línea 53, columna 10
Carácter ilegal 'i' en línea 53, columna 11
Carácter ilegal 'n' en línea 53, columna 12
Carácter ilegal 't' en línea 53, columna 13
Carácter ilegal 'l' en línea 53, columna 14
Carácter ilegal 'n' en línea 53, columna 15
Carácter ilegal '"' en línea 53, columna 17
Carácter ilegal 'E' en línea 53, columna 18
