================================================================================
ANÁLISIS LÉXICO - LENGUAJE GO
================================================================================
Archivo analizado: algoritmo2.go
Fecha y hora: 12/11/2025 21:43:31
Usuario: SKEIILAT
================================================================================

TOKENS RECONOCIDOS (499)
--------------------------------------------------------------------------------
Token: PACKAGE              | Valor: package                        | Línea:    5 | Columna:    1
Token: INT_LITERAL          | Valor: 2                              | Línea:   14 | Columna:   25
Token: COMMA                | Valor: ,                              | Línea:   14 | Columna:   26
Token: INT_LITERAL          | Valor: 3                              | Línea:   14 | Columna:   28
Token: COMMA                | Valor: ,                              | Línea:   14 | Columna:   29
Token: INT_LITERAL          | Valor: 4                              | Línea:   14 | Columna:   31
Token: COMMA                | Valor: ,                              | Línea:   14 | Columna:   32
Token: INT_LITERAL          | Valor: 5                              | Línea:   14 | Columna:   34
Token: COMMA                | Valor: ,                              | Línea:   14 | Columna:   35
Token: INT_LITERAL          | Valor: 6                              | Línea:   14 | Columna:   37
Token: COMMA                | Valor: ,                              | Línea:   14 | Columna:   38
Token: INT_LITERAL          | Valor: 7                              | Línea:   14 | Columna:   40
Token: COMMA                | Valor: ,                              | Línea:   14 | Columna:   41
Token: INT_LITERAL          | Valor: 8                              | Línea:   14 | Columna:   43
Token: COMMA                | Valor: ,                              | Línea:   14 | Columna:   44
Token: INT_LITERAL          | Valor: 9                              | Línea:   14 | Columna:   46
Token: COMMA                | Valor: ,                              | Línea:   14 | Columna:   47
Token: INT_LITERAL          | Valor: 10                             | Línea:   14 | Columna:   49
Token: RBRACE               | Valor: }                              | Línea:   14 | Columna:   51
Token: IF                   | Valor: if                             | Línea:   17 | Columna:    5
Token: ID                   | Valor: edad                           | Línea:   17 | Columna:    8
Token: GE                   | Valor: >=                             | Línea:   17 | Columna:   13
Token: INT_LITERAL          | Valor: 18                             | Línea:   17 | Columna:   16
Token: LBRACE               | Valor: {                              | Línea:   17 | Columna:   19
Token: ID                   | Valor: fmt                            | Línea:   18 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   18 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   18 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   18 | Columna:   20
Token: STRING_LITERAL       | Valor: Mayor de edad                  | Línea:   18 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   18 | Columna:   36
Token: RBRACE               | Valor: }                              | Línea:   19 | Columna:    5
Token: ELSE                 | Valor: else                           | Línea:   19 | Columna:    7
Token: LBRACE               | Valor: {                              | Línea:   19 | Columna:   12
Token: ID                   | Valor: fmt                            | Línea:   20 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   20 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   20 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   20 | Columna:   20
Token: STRING_LITERAL       | Valor: Menor de edad                  | Línea:   20 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   20 | Columna:   36
Token: RBRACE               | Valor: }                              | Línea:   21 | Columna:    5
Token: IF                   | Valor: if                             | Línea:   24 | Columna:    5
Token: ID                   | Valor: puntuacion                     | Línea:   24 | Columna:    8
Token: GE                   | Valor: >=                             | Línea:   24 | Columna:   19
Token: INT_LITERAL          | Valor: 90                             | Línea:   24 | Columna:   22
Token: LBRACE               | Valor: {                              | Línea:   24 | Columna:   25
Token: ID                   | Valor: fmt                            | Línea:   25 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   25 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   25 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   25 | Columna:   20
Token: STRING_LITERAL       | Valor: Calificación: A                | Línea:   25 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   25 | Columna:   38
Token: RBRACE               | Valor: }                              | Línea:   26 | Columna:    5
Token: ELSE                 | Valor: else                           | Línea:   26 | Columna:    7
Token: IF                   | Valor: if                             | Línea:   26 | Columna:   12
Token: ID                   | Valor: puntuacion                     | Línea:   26 | Columna:   15
Token: GE                   | Valor: >=                             | Línea:   26 | Columna:   26
Token: INT_LITERAL          | Valor: 80                             | Línea:   26 | Columna:   29
Token: LBRACE               | Valor: {                              | Línea:   26 | Columna:   32
Token: ID                   | Valor: fmt                            | Línea:   27 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   27 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   27 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   27 | Columna:   20
Token: STRING_LITERAL       | Valor: Calificación: B                | Línea:   27 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   27 | Columna:   38
Token: RBRACE               | Valor: }                              | Línea:   28 | Columna:    5
Token: ELSE                 | Valor: else                           | Línea:   28 | Columna:    7
Token: IF                   | Valor: if                             | Línea:   28 | Columna:   12
Token: ID                   | Valor: puntuacion                     | Línea:   28 | Columna:   15
Token: GE                   | Valor: >=                             | Línea:   28 | Columna:   26
Token: INT_LITERAL          | Valor: 70                             | Línea:   28 | Columna:   29
Token: LBRACE               | Valor: {                              | Línea:   28 | Columna:   32
Token: ID                   | Valor: fmt                            | Línea:   29 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   29 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   29 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   29 | Columna:   20
Token: STRING_LITERAL       | Valor: Calificación: C                | Línea:   29 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   29 | Columna:   38
Token: RBRACE               | Valor: }                              | Línea:   30 | Columna:    5
Token: ELSE                 | Valor: else                           | Línea:   30 | Columna:    7
Token: LBRACE               | Valor: {                              | Línea:   30 | Columna:   12
Token: ID                   | Valor: fmt                            | Línea:   31 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   31 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   31 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   31 | Columna:   20
Token: STRING_LITERAL       | Valor: Calificación: Reprobado        | Línea:   31 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   31 | Columna:   46
Token: RBRACE               | Valor: }                              | Línea:   32 | Columna:    5
Token: IF                   | Valor: if                             | Línea:   35 | Columna:    5
Token: ID                   | Valor: valor                          | Línea:   35 | Columna:    8
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   35 | Columna:   14
Token: ID                   | Valor: calcularPromedio               | Línea:   35 | Columna:   17
Token: LPAREN               | Valor: (                              | Línea:   35 | Columna:   33
Token: INT_LITERAL          | Valor: 80                             | Línea:   35 | Columna:   34
Token: COMMA                | Valor: ,                              | Línea:   35 | Columna:   36
Token: INT_LITERAL          | Valor: 90                             | Línea:   35 | Columna:   38
Token: RPAREN               | Valor: )                              | Línea:   35 | Columna:   40
Token: SEMICOLON            | Valor: ;                              | Línea:   35 | Columna:   41
Token: ID                   | Valor: valor                          | Línea:   35 | Columna:   43
Token: GT                   | Valor: >                              | Línea:   35 | Columna:   49
Token: INT_LITERAL          | Valor: 75                             | Línea:   35 | Columna:   51
Token: LBRACE               | Valor: {                              | Línea:   35 | Columna:   54
Token: ID                   | Valor: fmt                            | Línea:   36 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   36 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   36 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   36 | Columna:   20
Token: STRING_LITERAL       | Valor: Promedio aprobado:             | Línea:   36 | Columna:   21
Token: COMMA                | Valor: ,                              | Línea:   36 | Columna:   41
Token: ID                   | Valor: valor                          | Línea:   36 | Columna:   43
Token: RPAREN               | Valor: )                              | Línea:   36 | Columna:   48
Token: RBRACE               | Valor: }                              | Línea:   37 | Columna:    5
Token: ID                   | Valor: esAdulto                       | Línea:   40 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   40 | Columna:   14
Token: ID                   | Valor: edad                           | Línea:   40 | Columna:   17
Token: GE                   | Valor: >=                             | Línea:   40 | Columna:   22
Token: INT_LITERAL          | Valor: 18                             | Línea:   40 | Columna:   25
Token: AND                  | Valor: &&                             | Línea:   40 | Columna:   28
Token: ID                   | Valor: edad                           | Línea:   40 | Columna:   31
Token: LE                   | Valor: <=                             | Línea:   40 | Columna:   36
Token: INT_LITERAL          | Valor: 65                             | Línea:   40 | Columna:   39
Token: ID                   | Valor: tieneAcceso                    | Línea:   41 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   41 | Columna:   17
Token: ID                   | Valor: esAdulto                       | Línea:   41 | Columna:   20
Token: OR                   | Valor: ||                             | Línea:   41 | Columna:   29
Token: ID                   | Valor: puntuacion                     | Línea:   41 | Columna:   32
Token: GT                   | Valor: >                              | Línea:   41 | Columna:   43
Token: INT_LITERAL          | Valor: 80                             | Línea:   41 | Columna:   45
Token: ID                   | Valor: noEstaVacio                    | Línea:   42 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   42 | Columna:   17
Token: NOT                  | Valor: !                              | Línea:   42 | Columna:   20
Token: LPAREN               | Valor: (                              | Línea:   42 | Columna:   21
Token: ID                   | Valor: dia                            | Línea:   42 | Columna:   22
Token: EQ                   | Valor: ==                             | Línea:   42 | Columna:   26
Token: STRING_LITERAL       | Valor:                                | Línea:   42 | Columna:   29
Token: RPAREN               | Valor: )                              | Línea:   42 | Columna:   31
Token: ID                   | Valor: fmt                            | Línea:   44 | Columna:    5
Token: DOT                  | Valor: .                              | Línea:   44 | Columna:    8
Token: ID                   | Valor: Println                        | Línea:   44 | Columna:    9
Token: LPAREN               | Valor: (                              | Línea:   44 | Columna:   16
Token: STRING_LITERAL       | Valor: Es adulto:                     | Línea:   44 | Columna:   17
Token: COMMA                | Valor: ,                              | Línea:   44 | Columna:   29
Token: ID                   | Valor: esAdulto                       | Línea:   44 | Columna:   31
Token: RPAREN               | Valor: )                              | Línea:   44 | Columna:   39
Token: ID                   | Valor: fmt                            | Línea:   45 | Columna:    5
Token: DOT                  | Valor: .                              | Línea:   45 | Columna:    8
Token: ID                   | Valor: Println                        | Línea:   45 | Columna:    9
Token: LPAREN               | Valor: (                              | Línea:   45 | Columna:   16
Token: STRING_LITERAL       | Valor: Tiene acceso:                  | Línea:   45 | Columna:   17
Token: COMMA                | Valor: ,                              | Línea:   45 | Columna:   32
Token: ID                   | Valor: tieneAcceso                    | Línea:   45 | Columna:   34
Token: RPAREN               | Valor: )                              | Línea:   45 | Columna:   45
Token: ID                   | Valor: fmt                            | Línea:   46 | Columna:    5
Token: DOT                  | Valor: .                              | Línea:   46 | Columna:    8
Token: ID                   | Valor: Println                        | Línea:   46 | Columna:    9
Token: LPAREN               | Valor: (                              | Línea:   46 | Columna:   16
Token: STRING_LITERAL       | Valor: No está vacío:                 | Línea:   46 | Columna:   17
Token: COMMA                | Valor: ,                              | Línea:   46 | Columna:   33
Token: ID                   | Valor: noEstaVacio                    | Línea:   46 | Columna:   35
Token: RPAREN               | Valor: )                              | Línea:   46 | Columna:   46
Token: ID                   | Valor: fmt                            | Línea:   49 | Columna:    5
Token: DOT                  | Valor: .                              | Línea:   49 | Columna:    8
Token: ID                   | Valor: Println                        | Línea:   49 | Columna:    9
Token: LPAREN               | Valor: (                              | Línea:   49 | Columna:   16
Token: STRING_LITERAL       | Valor: Conteo del 1 al 5:             | Línea:   49 | Columna:   17
Token: RPAREN               | Valor: )                              | Línea:   49 | Columna:   37
Token: FOR                  | Valor: for                            | Línea:   50 | Columna:    5
Token: ID                   | Valor: i                              | Línea:   50 | Columna:    9
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   50 | Columna:   11
Token: INT_LITERAL          | Valor: 1                              | Línea:   50 | Columna:   14
Token: SEMICOLON            | Valor: ;                              | Línea:   50 | Columna:   15
Token: ID                   | Valor: i                              | Línea:   50 | Columna:   17
Token: LE                   | Valor: <=                             | Línea:   50 | Columna:   19
Token: INT_LITERAL          | Valor: 5                              | Línea:   50 | Columna:   22
Token: SEMICOLON            | Valor: ;                              | Línea:   50 | Columna:   23
Token: ID                   | Valor: i                              | Línea:   50 | Columna:   25
Token: INCREMENT            | Valor: ++                             | Línea:   50 | Columna:   26
Token: LBRACE               | Valor: {                              | Línea:   50 | Columna:   29
Token: ID                   | Valor: fmt                            | Línea:   51 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   51 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   51 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   51 | Columna:   20
Token: ID                   | Valor: i                              | Línea:   51 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   51 | Columna:   22
Token: RBRACE               | Valor: }                              | Línea:   52 | Columna:    5
Token: ID                   | Valor: contador                       | Línea:   55 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   55 | Columna:   14
Token: INT_LITERAL          | Valor: 0                              | Línea:   55 | Columna:   17
Token: FOR                  | Valor: for                            | Línea:   56 | Columna:    5
Token: ID                   | Valor: contador                       | Línea:   56 | Columna:    9
Token: LT                   | Valor: <                              | Línea:   56 | Columna:   18
Token: INT_LITERAL          | Valor: 3                              | Línea:   56 | Columna:   20
Token: LBRACE               | Valor: {                              | Línea:   56 | Columna:   22
Token: ID                   | Valor: fmt                            | Línea:   57 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   57 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   57 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   57 | Columna:   20
Token: STRING_LITERAL       | Valor: Contador:                      | Línea:   57 | Columna:   21
Token: COMMA                | Valor: ,                              | Línea:   57 | Columna:   32
Token: ID                   | Valor: contador                       | Línea:   57 | Columna:   34
Token: RPAREN               | Valor: )                              | Línea:   57 | Columna:   42
Token: ID                   | Valor: contador                       | Línea:   58 | Columna:    9
Token: INCREMENT            | Valor: ++                             | Línea:   58 | Columna:   17
Token: RBRACE               | Valor: }                              | Línea:   59 | Columna:    5
Token: ID                   | Valor: fmt                            | Línea:   62 | Columna:    5
Token: DOT                  | Valor: .                              | Línea:   62 | Columna:    8
Token: ID                   | Valor: Println                        | Línea:   62 | Columna:    9
Token: LPAREN               | Valor: (                              | Línea:   62 | Columna:   16
Token: STRING_LITERAL       | Valor: Números en el arreglo:         | Línea:   62 | Columna:   17
Token: RPAREN               | Valor: )                              | Línea:   62 | Columna:   41
Token: FOR                  | Valor: for                            | Línea:   63 | Columna:    5
Token: ID                   | Valor: indice                         | Línea:   63 | Columna:    9
Token: COMMA                | Valor: ,                              | Línea:   63 | Columna:   15
Token: ID                   | Valor: valor                          | Línea:   63 | Columna:   17
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   63 | Columna:   23
Token: RANGE                | Valor: range                          | Línea:   63 | Columna:   26
Token: ID                   | Valor: numeros                        | Línea:   63 | Columna:   32
Token: LBRACE               | Valor: {                              | Línea:   63 | Columna:   40
Token: IF                   | Valor: if                             | Línea:   64 | Columna:    9
Token: ID                   | Valor: valor                          | Línea:   64 | Columna:   12
Token: MOD                  | Valor: %                              | Línea:   64 | Columna:   18
Token: INT_LITERAL          | Valor: 2                              | Línea:   64 | Columna:   20
Token: EQ                   | Valor: ==                             | Línea:   64 | Columna:   22
Token: INT_LITERAL          | Valor: 0                              | Línea:   64 | Columna:   25
Token: LBRACE               | Valor: {                              | Línea:   64 | Columna:   27
Token: ID                   | Valor: fmt                            | Línea:   65 | Columna:   13
Token: DOT                  | Valor: .                              | Línea:   65 | Columna:   16
Token: ID                   | Valor: Println                        | Línea:   65 | Columna:   17
Token: LPAREN               | Valor: (                              | Línea:   65 | Columna:   24
Token: STRING_LITERAL       | Valor: Índice                         | Línea:   65 | Columna:   25
Token: COMMA                | Valor: ,                              | Línea:   65 | Columna:   33
Token: ID                   | Valor: indice                         | Línea:   65 | Columna:   35
Token: COMMA                | Valor: ,                              | Línea:   65 | Columna:   41
Token: STRING_LITERAL       | Valor: - Número par:                  | Línea:   65 | Columna:   43
Token: COMMA                | Valor: ,                              | Línea:   65 | Columna:   58
Token: ID                   | Valor: valor                          | Línea:   65 | Columna:   60
Token: RPAREN               | Valor: )                              | Línea:   65 | Columna:   65
Token: RBRACE               | Valor: }                              | Línea:   66 | Columna:    9
Token: RBRACE               | Valor: }                              | Línea:   67 | Columna:    5
Token: SWITCH               | Valor: switch                         | Línea:   70 | Columna:    5
Token: ID                   | Valor: dia                            | Línea:   70 | Columna:   12
Token: LBRACE               | Valor: {                              | Línea:   70 | Columna:   16
Token: CASE                 | Valor: case                           | Línea:   71 | Columna:    5
Token: STRING_LITERAL       | Valor: lunes                          | Línea:   71 | Columna:   10
Token: COLON                | Valor: :                              | Línea:   71 | Columna:   17
Token: ID                   | Valor: fmt                            | Línea:   72 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   72 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   72 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   72 | Columna:   20
Token: STRING_LITERAL       | Valor: Inicio de semana               | Línea:   72 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   72 | Columna:   39
Token: CASE                 | Valor: case                           | Línea:   73 | Columna:    5
Token: STRING_LITERAL       | Valor: viernes                        | Línea:   73 | Columna:   10
Token: COLON                | Valor: :                              | Línea:   73 | Columna:   19
Token: ID                   | Valor: fmt                            | Línea:   74 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   74 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   74 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   74 | Columna:   20
Token: STRING_LITERAL       | Valor: Fin de semana laboral          | Línea:   74 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   74 | Columna:   44
Token: CASE                 | Valor: case                           | Línea:   75 | Columna:    5
Token: STRING_LITERAL       | Valor: sábado                         | Línea:   75 | Columna:   10
Token: COMMA                | Valor: ,                              | Línea:   75 | Columna:   18
Token: STRING_LITERAL       | Valor: domingo                        | Línea:   75 | Columna:   20
Token: COLON                | Valor: :                              | Línea:   75 | Columna:   29
Token: ID                   | Valor: fmt                            | Línea:   76 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   76 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   76 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   76 | Columna:   20
Token: STRING_LITERAL       | Valor: Fin de semana                  | Línea:   76 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   76 | Columna:   36
Token: DEFAULT              | Valor: default                        | Línea:   77 | Columna:    5
Token: COLON                | Valor: :                              | Línea:   77 | Columna:   12
Token: ID                   | Valor: fmt                            | Línea:   78 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   78 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   78 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   78 | Columna:   20
Token: STRING_LITERAL       | Valor: Día de semana regular          | Línea:   78 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   78 | Columna:   44
Token: RBRACE               | Valor: }                              | Línea:   79 | Columna:    5
Token: SWITCH               | Valor: switch                         | Línea:   82 | Columna:    5
Token: LBRACE               | Valor: {                              | Línea:   82 | Columna:   12
Token: CASE                 | Valor: case                           | Línea:   83 | Columna:    5
Token: ID                   | Valor: edad                           | Línea:   83 | Columna:   10
Token: LT                   | Valor: <                              | Línea:   83 | Columna:   15
Token: INT_LITERAL          | Valor: 13                             | Línea:   83 | Columna:   17
Token: COLON                | Valor: :                              | Línea:   83 | Columna:   19
Token: ID                   | Valor: fmt                            | Línea:   84 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   84 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   84 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   84 | Columna:   20
Token: STRING_LITERAL       | Valor: Categoría: Niño                | Línea:   84 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   84 | Columna:   38
Token: CASE                 | Valor: case                           | Línea:   85 | Columna:    5
Token: ID                   | Valor: edad                           | Línea:   85 | Columna:   10
Token: LT                   | Valor: <                              | Línea:   85 | Columna:   15
Token: INT_LITERAL          | Valor: 20                             | Línea:   85 | Columna:   17
Token: COLON                | Valor: :                              | Línea:   85 | Columna:   19
Token: ID                   | Valor: fmt                            | Línea:   86 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   86 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   86 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   86 | Columna:   20
Token: STRING_LITERAL       | Valor: Categoría: Adolescente         | Línea:   86 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   86 | Columna:   45
Token: CASE                 | Valor: case                           | Línea:   87 | Columna:    5
Token: ID                   | Valor: edad                           | Línea:   87 | Columna:   10
Token: LT                   | Valor: <                              | Línea:   87 | Columna:   15
Token: INT_LITERAL          | Valor: 60                             | Línea:   87 | Columna:   17
Token: COLON                | Valor: :                              | Línea:   87 | Columna:   19
Token: ID                   | Valor: fmt                            | Línea:   88 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   88 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   88 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   88 | Columna:   20
Token: STRING_LITERAL       | Valor: Categoría: Adulto              | Línea:   88 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   88 | Columna:   40
Token: DEFAULT              | Valor: default                        | Línea:   89 | Columna:    5
Token: COLON                | Valor: :                              | Línea:   89 | Columna:   12
Token: ID                   | Valor: fmt                            | Línea:   90 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   90 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   90 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   90 | Columna:   20
Token: STRING_LITERAL       | Valor: Categoría: Adulto Mayor        | Línea:   90 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   90 | Columna:   46
Token: RBRACE               | Valor: }                              | Línea:   91 | Columna:    5
Token: SWITCH               | Valor: switch                         | Línea:   94 | Columna:    5
Token: ID                   | Valor: resultado                      | Línea:   94 | Columna:   12
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   94 | Columna:   22
Token: ID                   | Valor: evaluarNota                    | Línea:   94 | Columna:   25
Token: LPAREN               | Valor: (                              | Línea:   94 | Columna:   36
Token: ID                   | Valor: puntuacion                     | Línea:   94 | Columna:   37
Token: RPAREN               | Valor: )                              | Línea:   94 | Columna:   47
Token: SEMICOLON            | Valor: ;                              | Línea:   94 | Columna:   48
Token: ID                   | Valor: resultado                      | Línea:   94 | Columna:   50
Token: LBRACE               | Valor: {                              | Línea:   94 | Columna:   60
Token: CASE                 | Valor: case                           | Línea:   95 | Columna:    5
Token: STRING_LITERAL       | Valor: Excelente                      | Línea:   95 | Columna:   10
Token: COLON                | Valor: :                              | Línea:   95 | Columna:   21
Token: ID                   | Valor: fmt                            | Línea:   96 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   96 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   96 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   96 | Columna:   20
Token: STRING_LITERAL       | Valor: ¡Felicitaciones!               | Línea:   96 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   96 | Columna:   39
Token: CASE                 | Valor: case                           | Línea:   97 | Columna:    5
Token: STRING_LITERAL       | Valor: Bueno                          | Línea:   97 | Columna:   10
Token: COLON                | Valor: :                              | Línea:   97 | Columna:   17
Token: ID                   | Valor: fmt                            | Línea:   98 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   98 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:   98 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   98 | Columna:   20
Token: STRING_LITERAL       | Valor: Buen trabajo                   | Línea:   98 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:   98 | Columna:   35
Token: DEFAULT              | Valor: default                        | Línea:   99 | Columna:    5
Token: COLON                | Valor: :                              | Línea:   99 | Columna:   12
Token: ID                   | Valor: fmt                            | Línea:  100 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:  100 | Columna:   12
Token: ID                   | Valor: Println                        | Línea:  100 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:  100 | Columna:   20
Token: STRING_LITERAL       | Valor: Puede mejorar                  | Línea:  100 | Columna:   21
Token: RPAREN               | Valor: )                              | Línea:  100 | Columna:   36
Token: RBRACE               | Valor: }                              | Línea:  101 | Columna:    5
Token: ID                   | Valor: a                              | Línea:  104 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:  104 | Columna:    7
Token: INT_LITERAL          | Valor: 10                             | Línea:  104 | Columna:   10
Token: ID                   | Valor: b                              | Línea:  105 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:  105 | Columna:    7
Token: INT_LITERAL          | Valor: 20                             | Línea:  105 | Columna:   10
Token: ID                   | Valor: fmt                            | Línea:  106 | Columna:    5
Token: DOT                  | Valor: .                              | Línea:  106 | Columna:    8
Token: ID                   | Valor: Println                        | Línea:  106 | Columna:    9
Token: LPAREN               | Valor: (                              | Línea:  106 | Columna:   16
Token: STRING_LITERAL       | Valor: a == b:                        | Línea:  106 | Columna:   17
Token: COMMA                | Valor: ,                              | Línea:  106 | Columna:   26
Token: ID                   | Valor: a                              | Línea:  106 | Columna:   28
Token: EQ                   | Valor: ==                             | Línea:  106 | Columna:   30
Token: ID                   | Valor: b                              | Línea:  106 | Columna:   33
Token: RPAREN               | Valor: )                              | Línea:  106 | Columna:   34
Token: ID                   | Valor: fmt                            | Línea:  107 | Columna:    5
